Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Destiny: The Taken King,PS4,2015,Shooter,Activision,0.77,0.78,0.04,0.31
Call of Duty: Black Ops 3,PS3,2015,Shooter,Activision,0.49,0.96,0.07,0.27
Call of Duty: Black Ops 3,X360,2015,Shooter,Activision,1.11,0.48,0,0.16
Overwatch,PS4,2016,Shooter,Activision,0.64,0.68,0.14,0.26
The Order: 1886,PS4,2015,Shooter,Sony Computer Entertainment,0.61,0.78,0.06,0.27
The Elder Scrolls Online,PS4,2015,Role-Playing,Bethesda Softworks,0.66,0.78,0,0.28
FIFA 16,X360,2015,Sports,Electronic Arts,0.55,1.01,0,0.13
Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,0.58,0.44,0.33,0.21
Fire Emblem Fates,3DS,2015,Role-Playing,Nintendo,0.71,0.22,0.52,0.1
FIFA 17,XOne,2016,Sports,Electronic Arts,0.17,1.26,0,0.1
Doom (2016),PS4,2016,Shooter,Bethesda Softworks,0.49,0.66,0.02,0.22
Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,0.61,0.47,0.11,0.1
Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,Ubisoft,0.73,0.44,0,0.12
The Elder Scrolls Online,XOne,2015,Role-Playing,Bethesda Softworks,0.77,0.38,0,0.12
The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games,0.66,0.47,0,0.11
Madden NFL 17,PS4,2016,Sports,Electronic Arts,0.92,0.08,0,0.23
Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.5,0.63,0,0.1
Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,0.72,0.37,0.01,0.11
WWE 2K16,PS4,2015,Sports,Take-Two Interactive,0.41,0.6,0,0.19
NBA 2K17,PS4,2016,Sports,Take-Two Interactive,0.83,0.14,0,0.22
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.46,0.31,0.33,0.08
Ratchet & Clank (2016),PS4,2016,Platform,Sony Computer Entertainment,0.32,0.64,0.04,0.18
Destiny: The Taken King,XOne,2015,Shooter,Activision,0.82,0.23,0,0.11
Madden NFL 16,X360,2015,Sports,Electronic Arts,0.82,0.05,0,0.1
Final Fantasy Type-0,PS4,2015,Role-Playing,Square Enix,0.37,0.32,0.15,0.14
NBA 2K16,X360,2015,Sports,Take-Two Interactive,0.77,0.1,0,0.1
Evolve,PS4,2015,Shooter,Take-Two Interactive,0.35,0.41,0.05,0.15
MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.67,0.08,0,0.17
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.28,0.47,0,0.14
Dragon Quest VIII: Journey of the Cursed King,3DS,2015,Role-Playing,Square Enix,0,0,0.86,0
Overwatch,XOne,2016,Shooter,Activision,0.52,0.25,0,0.08
Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,0.36,0.28,0.14,0.06
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.36,0.32,0.03,0.14
Madden NFL 17,XOne,2016,Sports,Electronic Arts,0.72,0.02,0,0.09
Madden NFL 16,PS3,2015,Sports,Electronic Arts,0.56,0.11,0,0.15
NBA 2K16,PS3,2015,Sports,Take-Two Interactive,0.44,0.19,0.03,0.13
Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1
Mario & Luigi: Paper Jam,3DS,2015,Role-Playing,Nintendo,0.16,0.3,0.25,0.04
Final Fantasy X/X-2 HD Remaster,PS4,2015,Role-Playing,Square Enix,0.29,0.25,0.06,0.11
Doom (2016),XOne,2016,Shooter,Bethesda Softworks,0.39,0.23,0,0.06
The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,0.2,0.42,0,0.05
NBA 2K17,XOne,2016,Sports,Take-Two Interactive,0.54,0.04,0,0.07
Dragon Quest Monsters Joker 3,3DS,2016,Role-Playing,Square Enix,0,0,0.63,0
Evolve,XOne,2015,Shooter,Take-Two Interactive,0.36,0.2,0,0.06
NHL 16,PS4,2015,Sports,Electronic Arts,0.35,0.15,0,0.11
Tales of Zestiria,PS3,2015,Role-Playing,Namco Bandai Games,0.05,0.09,0.42,0.03
Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.2,0.22,0.08,0.08
WWE 2K16,XOne,2015,Sports,Take-Two Interactive,0.31,0.22,0,0.05
WWE 2K16,PS3,2015,Sports,Take-Two Interactive,0.21,0.27,0,0.09
Xenoblade Chronicles,3DS,2015,Role-Playing,Nintendo,0.26,0.14,0.12,0.04
Star Wars Battlefront (2015),PC,2015,Shooter,Electronic Arts,0.13,0.37,0,0.04
Kirby and the Rainbow Curse,WiiU,2015,Platform,Nintendo,0.23,0.14,0.12,0.04
WWE 2K16,X360,2015,Sports,Take-Two Interactive,0.27,0.19,0,0.04
Battlefield: Hardline,PS3,2015,Shooter,Electronic Arts,0.12,0.23,0.07,0.07
Bravely Second: End Layer,3DS,2015,Role-Playing,Nintendo,0.16,0.11,0.18,0.03
NHL 16,XOne,2015,Sports,Electronic Arts,0.37,0.05,0,0.05
Sword Art Online: Lost Song,PSV,2015,Role-Playing,Namco Bandai Games,0.08,0.1,0.23,0.05
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,0.17,0.21,0,0.07
Pro Evolution Soccer 2016,PS3,2015,Sports,Konami Digital Entertainment,0.08,0.18,0.15,0.05
Mario Tennis Ultra Smash,WiiU,2015,Sports,Nintendo,0.13,0.16,0.13,0.03
Plants vs. Zombies: Garden Warfare 2,XOne,2016,Shooter,Electronic Arts,0.26,0.15,0,0.04
Overwatch,PC,2016,Shooter,Activision,0.22,0.18,0,0.04
Destiny: The Taken King,PS3,2015,Shooter,Activision,0.16,0.17,0.02,0.06
Borderlands: The Handsome Collection,XOne,2015,Shooter,Take-Two Interactive,0.24,0.13,0,0.04
EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,0.23,0.14,0,0.04
MLB 15: The Show,PS3,2015,Sports,Sony Computer Entertainment,0.3,0.01,0,0.07
God Eater 2: Rage Burst,PSV,2015,Role-Playing,Namco Bandai Games,0,0.01,0.37,0
Destiny: The Taken King,X360,2015,Shooter,Activision,0.22,0.12,0,0.03
Tales of Zestiria,PS4,2015,Role-Playing,Namco Bandai Games,0.16,0.15,0.02,0.06
FIFA 17,PS3,2016,Sports,Electronic Arts,0.02,0.29,0.01,0.05
Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,0.2,0.14,0,0.03
Dark Souls III,XOne,2016,Role-Playing,Namco Bandai Games,0.23,0.09,0,0.03
Star Fox: Zero,WiiU,2016,Shooter,Nintendo,0.16,0.1,0.07,0.03
Persona 5,PS4,2016,Role-Playing,Atlus,0,0,0.34,0
Battlefield: Hardline,X360,2015,Shooter,Electronic Arts,0.17,0.14,0,0.03
Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,0.1,0.18,0,0.05
Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,0.1,0.14,0.02,0.06
Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,0.05,0.19,0.03,0.04
Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,Square Enix,0.06,0.07,0.14,0.02
Dragon Quest Builders: Revive Alefgard,PSV,2016,Role-Playing,Square Enix,0,0,0.3,0
World of Warcraft: Legion,PC,2016,Role-Playing,Activision,0.14,0.12,0,0.02
Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,0.01,0.16,0.09,0.03
UEFA Euro 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0.21,0.03,0.03
Divinity: Original Sin,PS4,2015,Role-Playing,Focus Home Interactive,0.09,0.12,0.02,0.04
Disgaea 5: Alliance of Vengeance,PS4,2015,Role-Playing,Nippon Ichi Software,0.1,0.08,0.06,0.04
Payday 2,PS4,2015,Shooter,505 Games,0.09,0.14,0,0.04
Tearaway Unfolded,PS4,2015,Platform,Sony Computer Entertainment,0.09,0.12,0,0.04
Final Fantasy Type-0,XOne,2015,Role-Playing,Square Enix,0.15,0.07,0,0.02
The Legend of Legacy,3DS,2015,Role-Playing,FuRyu,0.11,0.02,0.1,0.01
Stella Glow,3DS,2015,Role-Playing,Atlus,0.16,0.01,0.05,0.02
Chibi-Robo! Zip Lash,3DS,2015,Platform,Nintendo,0.09,0.08,0.06,0.02
Etrian Mystery Dungeon,3DS,2015,Role-Playing,Nippon Ichi Software,0.09,0.01,0.12,0.01
Sword Art Online: Lost Song,PS4,2015,Role-Playing,Namco Bandai Games,0.09,0.1,0,0.04
Call of Duty: Black Ops 3,PC,2015,Shooter,Activision,0,0.22,0,0.01
Rocket League,PS4,2016,Sports,505 Games,0.02,0.14,0,0.07
Dark Souls II,XOne,2015,Role-Playing,Namco Bandai Games,0.13,0.07,0,0.02
Battleborn,PS4,2016,Shooter,Take-Two Interactive,0.09,0.08,0.01,0.04
Tom Clancy's Rainbow Six: Siege,PC,2015,Shooter,Ubisoft,0.12,0.08,0,0.02
Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0,0,0.22,0
Tales of Berseria,PS4,2016,Role-Playing,Namco Bandai Games,0,0,0.22,0
Shin Megami Tensei x Fire Emblem,WiiU,2015,Role-Playing,Nintendo,0.1,0.04,0.06,0.01
NHL 17,PS4,2016,Sports,Electronic Arts,0.13,0.04,0,0.04
Tony Hawk's Pro Skater 5,PS4,2015,Sports,Activision,0.09,0.08,0,0.03
BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,0.05,0.11,0.01,0.03
Mega Man Legacy Collection,3DS,2016,Platform,Capcom,0.13,0,0.05,0.02
Zombie Army Trilogy,PS4,2015,Shooter,Rebellion Developments,0.04,0.12,0,0.03
Evolve,PC,2015,Shooter,Take-Two Interactive,0.07,0.1,0,0.01
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,Nippon Ichi Software,0.06,0.03,0.07,0.02
FIFA 16,PC,2015,Sports,Electronic Arts,0.04,0.13,0,0.01
Doom (2016),PC,2016,Shooter,Bethesda Softworks,0.06,0.1,0,0.01
FIFA 17,X360,2016,Sports,Electronic Arts,0.03,0.13,0,0.01
Jikkyou Powerful Pro Baseball 2016,PSV,2016,Sports,Konami Digital Entertainment,0,0,0.17,0
Shin Megami Tensei IV: Final,3DS,2016,Role-Playing,Deep Silver,0.03,0,0.14,0
NBA Live 16,PS4,2015,Sports,Electronic Arts,0.1,0.04,0,0.03
Digimon Story: Cyber Sleuth,PSV,2015,Role-Playing,Namco Bandai Games,0,0,0.17,0
Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0,0.17,0
Valkyria Chronicles,PS4,2016,Role-Playing,Sega,0.06,0.04,0.05,0.02
Payday 2,XOne,2015,Shooter,505 Games,0.08,0.07,0,0.01
NASCAR '15,X360,2015,Sports,Deep Silver,0.15,0,0,0.02
Dragon Ball: Fusions,3DS,2016,Role-Playing,Namco Bandai Games,0,0,0.17,0
Project X Zone 2: Brave New World,3DS,2015,Role-Playing,Namco Bandai Games,0.04,0.04,0.08,0.01
7th Dragon III Code: VFD,3DS,2015,Role-Playing,Sega,0.03,0,0.12,0
NHL 17,XOne,2016,Sports,Electronic Arts,0.13,0.01,0,0.02
Mirror's Edge Catalyst,XOne,2016,Platform,Electronic Arts,0.08,0.05,0,0.02
Tokyo Xanadu,PSV,2015,Role-Playing,Nihon Falcom Corporation,0,0,0.15,0
Odin Sphere: Leifthrasir,PSV,2016,Role-Playing,Nippon Ichi Software,0.02,0.03,0.08,0.02
Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix,0.08,0.06,0,0.01
Famista Returns,3DS,2015,Sports,Namco Bandai Games,0,0,0.14,0
Battlefield: Hardline,PC,2015,Shooter,Electronic Arts,0,0.13,0,0.01
Shovel Knight,3DS,2015,Platform,Yacht Club Games,0.07,0.04,0.01,0.01
Rugby 15,PS3,2015,Sports,Bigben Interactive,0.02,0.09,0,0.02
Pro Evolution Soccer 2016,X360,2015,Sports,Konami Digital Entertainment,0.04,0.08,0,0.01
Battleborn,XOne,2016,Shooter,Take-Two Interactive,0.08,0.04,0,0.01
Homefront: The Revolution,XOne,2016,Shooter,Deep Silver,0.05,0.07,0,0.01
Rocket League,XOne,2016,Sports,505 Games,0.03,0.09,0,0.01
WRC 5: FIA World Rally Championship,PS3,2015,Sports,Bigben Interactive,0.02,0.09,0,0.02
Shin Megami Tensei: Devil Survivor 2,3DS,2015,Role-Playing,Atlus,0,0.03,0.09,0
Dragon Quest Builders: Revive Alefgard,PS3,2016,Role-Playing,Square Enix,0,0,0.12,0
Etrian Odyssey V,3DS,2016,Role-Playing,Atlus,0,0,0.12,0
Don Bradman Cricket 14,PS4,2015,Sports,Tru Blu Entertainment,0.01,0.09,0,0.02
Sword Art Online: Hollow Fragment,PS4,2015,Role-Playing,Namco Bandai Games,0,0.1,0,0.02
Tony Hawk's Pro Skater 5,XOne,2015,Sports,Activision,0.08,0.02,0,0.01
UEFA Euro 2016,PS3,2016,Sports,Konami Digital Entertainment,0,0.08,0.02,0.01
Jikkyou Powerful Pro Baseball 2016,PS3,2016,Sports,Konami Digital Entertainment,0,0,0.11,0
Tales of Berseria,PS3,2016,Role-Playing,Namco Bandai Games,0,0,0.11,0
Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,Namco Bandai Games,0,0.09,0,0.02
Rugby 15,PS4,2015,Sports,Bigben Interactive,0.03,0.06,0,0.02
Shovel Knight,WiiU,2015,Platform,Yacht Club Games,0.06,0.04,0,0.01
Zombie Army Trilogy,XOne,2015,Shooter,Rebellion Developments,0.04,0.05,0,0.01
God Eater 2: Rage Burst,PS4,2015,Role-Playing,Namco Bandai Games,0,0.01,0.09,0
Pro Evolution Soccer 2016,XOne,2015,Sports,Konami Digital Entertainment,0.03,0.06,0,0.01
Wasteland 2,PS4,2015,Role-Playing,Deep Silver,0.07,0,0.01,0.02
NBA Live 16,XOne,2015,Sports,Electronic Arts,0.08,0.01,0,0.01
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,2015,Role-Playing,Tecmo Koei,0.01,0.02,0.06,0.01
Sword Art Online: Lost Song,PS3,2015,Role-Playing,Namco Bandai Games,0,0,0.1,0
Persona 5,PS3,2016,Role-Playing,Unknown,0,0,0.1,0
Wasteland 2,PC,2015,Role-Playing,inXile Entertainment,0.02,0.06,0,0.01
NBA 2K16,PC,2015,Sports,Take-Two Interactive,0.02,0.06,0,0.01
SpongeBob: HeroPants,X360,2015,Platform,Activision,0.08,0,0,0.01
Rugby 15,XOne,2015,Sports,Bigben Interactive,0.03,0.05,0,0.01
Ys VIII: Lacrimosa of Dana,PSV,2016,Role-Playing,Nihon Falcom Corporation,0,0,0.09,0
The Witch and the Hundred Knight,PS4,2015,Role-Playing,Nippon Ichi Software,0.02,0.01,0.05,0.01
BioShock The Collection,XOne,2016,Shooter,Take-Two Interactive,0.03,0.04,0,0.01
Madden NFL 17,X360,2016,Sports,Electronic Arts,0.06,0.01,0,0.01
Dragon's Dogma Online,PS4,2015,Role-Playing,Capcom,0,0,0.08,0
Madden NFL 17,PS3,2016,Sports,Electronic Arts,0.05,0.01,0,0.01
WRC 5: FIA World Rally Championship,PSV,2015,Sports,Bigben Interactive,0,0.06,0,0.02
Shovel Knight,PS4,2015,Platform,Yacht Club Games,0.03,0.03,0,0.01
Yoru no Nai Kuni,PS4,2015,Role-Playing,Tecmo Koei,0,0,0.08,0
Mega Man Legacy Collection,PS4,2016,Platform,Capcom,0.06,0,0,0.01
Yoru no Nai Kuni,PSV,2015,Role-Playing,Tecmo Koei,0,0,0.07,0
Rugby World Cup 2015,PS3,2015,Sports,Ubisoft,0,0.06,0,0.01
Grand Kingdom,PSV,2015,Role-Playing,Nippon Ichi Software,0.01,0.02,0.04,0.01
Battleborn,PC,2016,Shooter,Take-Two Interactive,0.03,0.03,0,0.01
The Legend of Heroes: Trails in the Sky First Chapter,PSV,2015,Role-Playing,Kadokawa Shoten,0,0,0.07,0
Divinity: Original Sin,XOne,2015,Role-Playing,Focus Home Interactive,0.04,0.02,0,0.01
Resident Evil 6,PS4,2016,Shooter,Capcom,0.05,0,0,0.01
Tony Hawk's Pro Skater 5,X360,2015,Sports,Activision,0.06,0,0,0.01
Fairy Fencer F: Advent Dark Force,PS4,2015,Role-Playing,Idea Factory International,0.02,0,0.05,0
Rugby 15,PSV,2015,Sports,Bigben Interactive,0,0.05,0,0.01
Pro Evolution Soccer 2017,PS3,2016,Sports,Konami Digital Entertainment,0,0.01,0.04,0
Risen 3: Titan Lords,PS4,2015,Role-Playing,Deep Silver,0,0.05,0,0.01
Odin Sphere: Leifthrasir,PS3,2016,Role-Playing,Nippon Ichi Software,0.01,0.02,0.03,0.01
Destiny: The Collection,PS4,2016,Shooter,Activision,0.01,0.04,0,0.01
Genkai Tokki: Moero Crystal,PSV,2015,Role-Playing,Compile Heart,0,0,0.06,0
Atelier Sophie: The Alchemist of the Mysterious Book,PSV,2015,Role-Playing,Tecmo Koei,0,0,0.06,0
Project Setsuna,PS4,2016,Role-Playing,Square Enix,0,0,0.06,0
Rugby World Cup 2015,PS4,2015,Sports,Ubisoft,0,0.05,0,0.01
MX vs. ATV Supercross Encore,PS4,2015,Sports,Nordic Games,0,0.05,0,0.01
Tony Hawk's Pro Skater 5,PS3,2015,Sports,Activision,0.04,0,0,0.01
Handball 16,PS4,2015,Sports,Bigben Interactive,0,0.05,0,0.01
Grand Kingdom,PS4,2015,Role-Playing,Nippon Ichi Software,0.02,0,0.03,0
NBA 2K17,X360,2016,Sports,Take-Two Interactive,0.04,0,0,0.01
Dark Souls III,PC,2016,Role-Playing,Namco Bandai Games,0,0.05,0,0
Rugby 15,X360,2015,Sports,Bigben Interactive,0,0.05,0,0
FIFA 17,PC,2016,Sports,Electronic Arts,0,0.05,0,0
Arcania: Gothic 4,PS4,2015,Role-Playing,Nordic Games,0.04,0,0,0.01
Omega Labyrinth,PSV,2015,Role-Playing,D3Publisher,0,0,0.05,0
Dead or Alive Xtreme 3: Fortune,PS4,2016,Sports,Tecmo Koei,0,0,0.05,0
Stranger of Sword City,PSV,2015,Role-Playing,Nippon Ichi Software,0.02,0.02,0,0.01
WRC 5: FIA World Rally Championship,PS4,2015,Sports,Bigben Interactive,0,0.04,0,0.01
Earth Defense Force 4.1: The Shadow of New Despair,PS4,2015,Shooter,Xseed Games,0.02,0.02,0,0.01
SpongeBob: HeroPants,PSV,2015,Platform,Activision,0.03,0.01,0,0.01
Project Setsuna,PSV,2016,Role-Playing,Square Enix,0,0,0.05,0
Caligula,PSV,2016,Role-Playing,FuRyu,0,0,0.05,0
The Technomancer,PS4,2016,Role-Playing,Focus Home Interactive,0.01,0.03,0,0.01
Mirror's Edge Catalyst,PC,2016,Platform,Electronic Arts,0.01,0.03,0,0.01
Pro Cycling Manager 2016,PS4,2016,Sports,Focus Home Interactive,0,0.04,0,0.01
NBA 2K17,PS3,2016,Sports,Take-Two Interactive,0.03,0.01,0,0.01
Sword Art Online: Game Director's Edition,PS4,2015,Role-Playing,Namco Bandai Games,0,0,0.05,0
Wasteland 2,XOne,2015,Role-Playing,Deep Silver,0.04,0.01,0,0
Handball 16,PS3,2015,Sports,Bigben Interactive,0,0.04,0,0.01
Rugby World Cup 2015,X360,2015,Sports,Ubisoft,0,0.04,0,0
Yoru no Nai Kuni,PS3,2015,Role-Playing,Tecmo Koei,0,0,0.05,0
Mighty No. 9,PS4,2016,Platform,Deep Silver,0.04,0,0,0.01
Plants vs. Zombies: Garden Warfare 2,PC,2016,Shooter,Electronic Arts,0,0.04,0,0
Atelier Escha & Logy: Alchemists of the Dusk Sky,PSV,2015,Role-Playing,Tecmo Koei,0,0,0.04,0
Exist Archive: The Other Side of the Sky,PSV,2015,Role-Playing,Aksys Games,0,0,0.04,0
Rugby Challenge 3,PS3,2016,Sports,Alternative Software,0,0.04,0,0.01
R.B.I. Baseball 2016,XOne,2016,Sports,MLB.com,0.04,0,0,0
Pro Evolution Soccer 2016,PC,2015,Sports,Konami Digital Entertainment,0,0.04,0,0
Star Ocean 5: Integrity and Faithlessness,PS3,2016,Role-Playing,Square Enix,0,0,0.04,0
Hyperdimension Neptunia Victory II,PS4,2015,Role-Playing,Idea Factory International,0,0,0.04,0
Tsurugi no Machi no Ihoujin: Kuro no Kyuuden,PSV,2015,Role-Playing,Experience Inc.,0,0,0.04,0
Rugby Challenge 3,PS4,2016,Sports,Alternative Software,0,0.03,0,0.01
Don Bradman Cricket 14,XOne,2015,Sports,Tru Blu Entertainment,0,0.04,0,0
Resident Evil 6,XOne,2016,Shooter,Capcom,0.03,0,0,0
Rugby World Cup 2015,PSV,2015,Sports,Ubisoft,0,0.03,0,0.01
NHL 16,PS3,2015,Sports,Electronic Arts,0,0.03,0,0.01
Destiny: The Collection,XOne,2016,Shooter,Activision,0.01,0.02,0,0
Ray Gigant,PSV,2015,Role-Playing,Namco Bandai Games,0,0,0.04,0
MLB 15: The Show,PSV,2015,Sports,Sony Computer Entertainment,0.03,0,0,0.01
Resident Evil 4 HD,PS4,2016,Shooter,Capcom,0.03,0,0,0.01
The Legend of Heroes: Trails in the Sky SC Evolution,PSV,2015,Role-Playing,Kadokawa Games,0,0,0.03,0
SpongeBob: HeroPants,3DS,2015,Platform,Activision,0.03,0,0,0
Criminal Girls 2,PSV,2015,Role-Playing,Nippon Ichi Software,0,0,0.03,0
Dead or Alive Xtreme 3: Venus,PSV,2016,Sports,Tecmo Koei,0,0,0.03,0
Medarot 9: Kabuto Ver. / Kuwagata Ver.,3DS,2015,Role-Playing,Rocket Company,0,0,0.03,0
Sonic Boom: Fire & Ice,3DS,2016,Platform,Sega,0.03,0,0,0
Dragon's Dogma Online,PS3,2015,Role-Playing,Capcom,0,0,0.03,0
Atelier Sophie: The Alchemist of the Mysterious Book,PS3,2015,Role-Playing,Tecmo Koei,0,0,0.03,0
Medabots 9: Metabee / Rokusho,3DS,2015,Role-Playing,Rocket Company,0,0,0.03,0
Phantasy Star Online 2 Episode 4: Deluxe Package,PS4,2017,Role-Playing,Sega,0,0,0.03,0
Airship Q,PSV,2015,Platform,Cygames,0,0,0.03,0
Atelier Shallie Plus: Alchemists of the Dusk Sea,PSV,2016,Role-Playing,Tecmo Koei,0,0,0.03,0
Langrisser: Re:Incarnation Tensei,3DS,2015,Role-Playing,Extreme Entertainment Group,0.02,0,0.01,0
Shantae and the Pirate's Curse,3DS,2015,Platform,Intergrow,0,0,0.03,0
Pro Cycling Manager 2016,PC,2016,Sports,Focus Home Interactive,0,0.03,0,0
Hyperdimension Neptunia Vs. Sega Hard Girls: Yume no Gattai Special,PSV,2015,Role-Playing,Compile Heart,0,0,0.03,0
Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,3DS,2016,Role-Playing,Rocket Company,0,0,0.03,0
New Tokyo Legacy: Operation Babel,PSV,2015,Role-Playing,5pb,0,0,0.03,0
Exist Archive: The Other Side of the Sky,PS4,2015,Role-Playing,Aksys Games,0,0,0.03,0
Pro Evolution Soccer 2017,XOne,2016,Sports,Konami Digital Entertainment,0,0.02,0,0
MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All,PSV,2015,Role-Playing,Idea Factory,0,0.01,0.01,0
Yuusha Shisu.,PSV,2016,Role-Playing,Nippon Ichi Software,0,0,0.02,0
Rugby Challenge 3,X360,2016,Sports,Alternative Software,0,0.02,0,0
Tokyo Xanadu eX+,PS4,2016,Role-Playing,Nihon Falcom Corporation,0,0,0.02,0
Genkai Tokki: Seven Pirates,PSV,2016,Role-Playing,Compile Heart,0,0,0.02,0
Rocket League,PC,2016,Sports,505 Games,0.01,0.01,0,0
Rugby World Cup 2015,XOne,2015,Sports,Ubisoft,0,0.02,0,0
Homefront: The Revolution,PC,2016,Shooter,Deep Silver,0,0.02,0,0
The Technomancer,XOne,2016,Role-Playing,Focus Home Interactive,0.01,0.01,0,0
The Legend of Heroes: Trails in the Sky Third Chapter,PSV,2016,Role-Playing,Nihon Falcom Corporation,0,0,0.02,0
Deus Ex: Mankind Divided,PC,2016,Role-Playing,Square Enix,0,0.02,0,0
Dino Dini's Kick Off Revival,PS4,2016,Sports,Avanquest,0,0.02,0,0
Mighty No. 9,WiiU,2016,Platform,Deep Silver,0.01,0.01,0,0
Black Rose Valkyrie,PS4,2016,Role-Playing,Idea Factory,0,0,0.02,0
Call of Duty: Modern Warfare Trilogy,PS3,2016,Shooter,Activision,0,0.01,0,0
MX vs. ATV Supercross Encore,XOne,2015,Sports,Nordic Games,0.02,0,0,0
NHL 16,X360,2015,Sports,Electronic Arts,0,0.02,0,0
Call of Duty: Modern Warfare Trilogy,X360,2016,Shooter,Activision,0.01,0.01,0,0
WRC 5: FIA World Rally Championship,X360,2015,Sports,Bigben Interactive,0,0.02,0,0
Assault Suit Leynos,PS4,2016,Shooter,Rising Star Games,0.01,0,0,0
Touhou Genso Rondo: Bullet Ballet,PS4,2016,Shooter,Nippon Ichi Software,0.01,0,0,0
WRC 5: FIA World Rally Championship,XOne,2015,Sports,Bigben Interactive,0,0.01,0,0
Raven's Cry,PS4,2015,Role-Playing,TopWare Interactive,0,0.01,0,0
New Interpretation Stranger of Sword City,PSV,2016,Role-Playing,Experience Inc.,0,0,0.01,0
